Region Name,Branch Code,Branch Name,Period,Deposits,Savings Bank,Current Deposits,Term Deposits,Advances,Business,Number of Branches
Dindigul Region,376,Palani,20260203,185.987725158,79.303208834,8.473829424,98.2106869,96.17858893,282.166314088,1
Dindigul Region,332,Dindigul,20260203,134.321597021,67.22388762,7.956776774,59.140932627,145.98467804,280.306275061,1
Dindigul Region,1314,"Servite Convent, Dindigul",20260203,126.084912181,65.513700757,2.742860424,57.828351,84.244075441,210.328987622,1
Dindigul Region,174,Theni - Allinagaram,20260203,84.294878949,44.496096066,2.556172992,37.242609891,104.423336497,188.718215446,1
Dindigul Region,2098,"R.M. Colony, Dindigul",20260203,60.246656978,26.240619892,5.490031686,28.5160054,124.715579879,184.962236857,1
Dindigul Region,2574,Bodinayakanur,20260203,56.633566104,28.554865135,0.737242669,27.3414583,117.840378063,174.473944167,1
Dindigul Region,1044,Lakshmipuram,20260203,66.546530567,27.060923389,0.884524026,38.601083152,91.525291257,158.071821824,1
Dindigul Region,230,Vedasandur,20260203,75.445730225,43.753129367,0.863635258,30.8289656,77.369089602,152.814819827,1
Dindigul Region,1830,"Collectorate Branch, Dindigul",20260203,69.853381065,41.448194399,2.654985396,25.75020127,82.383504641,152.236885706,1
Dindigul Region,1013,ReddiapattI,20260203,31.084309966,17.713011761,1.291467905,12.0798303,113.463698161,144.548008127,1
Dindigul Region,176,Cumbum,20260203,52.339036458,30.793295464,2.687227994,18.858513,85.565397318,137.904433776,1
Dindigul Region,243,Pattiveeranpatti,20260203,58.070360533,27.383677146,1.052222387,29.634461,76.988946172,135.059306705,1
Dindigul Region,2461,Vadamadurai,20260203,34.236865178,23.625422972,0.421565806,10.1898764,99.022796425,133.259661603,1
Dindigul Region,2703,Palani Chettipatti,20260203,31.754077867,17.005187441,1.106664726,13.6422257,100.221711984,131.975789851,1
Dindigul Region,2685,Silapadi,20260203,40.70474513,23.505863187,1.572404143,15.6264778,81.500881975,122.205627105,1
Dindigul Region,2286,Batlagundu,20260203,39.489999104,27.079995787,1.729255638,10.680747679,80.81934703,120.309346134,1
Dindigul Region,1896,Theni Medical College,20260203,32.576504581,23.846833464,1.184687417,7.5449837,87.154139073,119.730643654,1
Dindigul Region,1560,Chinnamanur,20260203,42.54676674,22.663862828,1.370583132,18.51232078,75.782556255,118.329322995,1
Dindigul Region,2705,Vembarpatti - Gopalpatti,20260203,27.298667901,18.582254283,1.854910418,6.8615032,90.615363554,117.914031455,1
Dindigul Region,1258,Oddanchatram,20260203,61.780873,29.356118321,2.005065279,30.4196894,51.03734085,112.81821385,1
Dindigul Region,1789,Tamaraikulam,20260203,47.729246798,18.835794357,0.371731541,28.5217209,64.480989369,112.210236167,1
Dindigul Region,883,Rasingapuram,20260203,38.058453657,22.107766613,0.293007244,15.6576798,72.393068233,110.45152189,1
Dindigul Region,1220,Salaiyur,20260203,42.395012614,17.613863107,0.932142307,23.8490072,67.05069126,109.445703874,1
Dindigul Region,924,Puduchatram,20260203,54.865196987,17.702854446,0.616709641,36.5456329,53.014501225,107.879698212,1
Dindigul Region,1401,Silukkuvarpatti,20260203,30.878214329,15.845167526,1.141798655,13.891248148,74.661619372,105.539833701,1
Dindigul Region,1919,Uthamapalayam,20260203,39.682359947,22.031510612,3.115889908,14.534959427,64.819199485,104.501559432,1
Dindigul Region,2288,Natham,20260203,38.279503508,21.544052511,2.425986763,14.309464234,64.540178694,102.819682202,1
Dindigul Region,3165,"Adiyanuthu, Ponnagaram",20260203,27.976351932,14.126697792,0.81598904,13.0336651,73.928158233,101.904510165,1
Dindigul Region,3164,Sendurai,20260203,20.457192947,14.224161505,0.811780429,5.421251013,80.213245952,100.670438899,1
Dindigul Region,2464,Nilakottai,20260203,33.941123487,18.443771093,0.627403476,14.869948918,65.058853578,98.999977065,1
Dindigul Region,175,Ayakudi,20260203,47.191426207,21.127501932,0.287167375,25.7767569,47.729585783,94.92101199,1
Dindigul Region,3437,DHARUMATHUPATTI,20260203,33.309303347,19.166398175,0.914388272,13.2285169,58.473931919,91.783235266,1
Dindigul Region,2287,Andipatty - Jakkampatty,20260203,25.558062106,12.984231972,0.539292873,12.034537261,65.027675505,90.585737611,1
Dindigul Region,237,Sithayankottai,20260203,33.795503182,22.411850464,1.347089952,10.036562766,56.504359204,90.299862386,1
Dindigul Region,2706,Kothapulli - Reddiarchatram,20260203,29.526524447,16.828795919,1.553270828,11.1444577,57.855107938,87.381632385,1
Dindigul Region,1931,Periyakulam,20260203,32.693966146,15.520721589,0.765534257,16.4077103,54.177941566,86.871907712,1
Dindigul Region,910,Sembatti (Pachamalayan Kottai,20260203,41.686753828,24.438273328,1.8964181,15.3520624,44.713258448,86.400012276,1
Dindigul Region,3549,AMBILIKAI,20260203,45.361098109,15.922083784,1.019661625,28.4193527,39.44011096,84.801209069,1
Dindigul Region,1152,Narikkalpatti,20260203,37.958451277,15.370224299,0.288050378,22.3001766,46.310278925,84.268730202,1
Dindigul Region,911,Kalwarpatti,20260203,44.824653337,15.12006251,0.315527122,29.389063705,39.116809259,83.941462596,1
Dindigul Region,232,Pannaikadu,20260203,24.844894449,16.915311101,0.985677131,6.943906217,58.994980896,83.839875345,1
Dindigul Region,1316,Palayam,20260203,37.057566737,17.357243414,1.41437129,18.285952033,46.408915594,83.466482331,1
Dindigul Region,2702,Kamayagoundanpatti,20260203,20.273583191,12.070302967,0.877563024,7.3257172,58.577565999,78.85114919,1
Dindigul Region,3548,BOOTHIPURAM,20260203,14.612733196,8.856881903,0.363962693,5.3918886,56.50024122,71.112974416,1
Dindigul Region,1221,Marambadi,20260203,21.871786187,10.762324489,0.161353398,10.9481083,44.938756176,66.810542363,1
Dindigul Region,3166,Thadikombu,20260203,23.398138,14.923585579,0.545526321,7.9290261,43.08818899,66.48632699,1
Dindigul Region,2686,Chinnalapatti,20260203,21.98872048,9.427453041,0.634662839,11.9266046,42.788313156,64.777033636,1
Dindigul Region,1112,Nagayakottai,20260203,24.985607855,12.69157655,1.561381905,10.7326494,29.437380399,54.422988254,1
Dindigul Region,3347,Anaipatti,20260203,8.117172232,4.894848759,0.266340236,2.955983237,45.023192352,53.140364584,1
Dindigul Region,2704,"Timmarasanayakkanur, Subbulapuram",20260203,10.24090063,7.179019229,0.191345701,2.8705357,41.888867726,52.129768356,1
Dindigul Region,1317,N.Paraipatti,20260203,13.88969475,8.58299732,0.143770306,5.162927124,30.299130919,44.188825669,1
Dindigul Region,3436,KODAIKANAL,20260203,14.193172946,7.455531058,1.776653339,4.960988549,26.516654629,40.709827575,1
Dindigul Region,3346,Vangamuthu,20260203,8.206796729,6.22795074,0.098783389,1.8800626,30.327414423,38.534211152,1
Dindigul Region,3920,BALAKRISHNAPURAM,20260203,2.281154032,1.558474539,0.078172893,0.6445066,9.384042271,11.665196303,1